Source,Source_Lat,Source_Lon,Destination,Dest_Lat,Dest_Lon,Distance_Meters
ADMIN BUILDING (TOWER),23.0361584,72.5471442,TOWER CIRCLE,23.0361911,72.547566,43.31
ADMIN BUILDING (TOWER),23.0361584,72.5471442,6,23.0359853,72.5461008,108.49
B K SCHOOL OF BUSINESS MANAGEMENT,23.0361038,72.5479811,2,23.0362297,72.5479656,14.09
K S SCHOOL OF BUSINESS MANAGEMENT,23.036287,72.5478641,2,23.0362297,72.5479656,12.18
DEPARTMENT OF PSYCHOLOGY,23.0369461,72.5481299,3,23.0370004,72.5475348,61.19
SCHOOL OF LANGUAGES,23.0377159,72.5483931,5,23.037802,72.5481718,24.59
INFORMATION CENTRE,23.0378859,72.5482825,5,23.037802,72.5481718,14.67
LIBRARY,23.0385101,72.5477165,41,23.0384928,72.5474188,30.52
DEPARTMENT OF COMPUTER SCIENCE,23.0360597,72.5452603,12,23.0360464,72.5451939,6.95
UPASANA,23.0362812,72.5449763,10,23.0363287,72.5452492,28.42
DEPARTMENT OF PHYSICS,23.0371494,72.5446793,21,23.037039,72.5446813,12.28
DEPARTMENT OF ZOOLOGY,23.0381734,72.5448975,20,23.0374897,72.5448888,76.03
DEPARTMENT OF ZOOLOGY,23.0381734,72.5448975,18,23.0395887,72.5440463,179.87
DEPARTMENT OF ANIMATION,23.0388152,72.5455111,40,23.0384752,72.5455362,37.89
DEPARTMENT OF BOTANY,23.037772,72.5431427,28,23.0378692,72.5431088,11.35
DEPARTMENT OF MICROBIOLOGY,23.0374364,72.5440798,23,23.0374453,72.5442065,13.0
ATAL KALAM,23.0381546,72.5421939,47,23.0382453,72.5421962,10.09
DEPARTMENT OF CHEMISTRY,23.038382,72.5429556,27,23.0383104,72.5430656,13.79
DEPARTMENT OF BIOCHEMISTRY,23.0387862,72.543994,45,23.0387914,72.5440801,8.83
PHYSICAL RESEARCH LABORATORY (PRL),23.0354034,72.5440315,35,23.0352553,72.5440952,17.71
GUJARAT UNIVERSITY POLICE STATION,23.03511208,72.5397883,34,23.0347703,72.5397477,38.23
SCHOOL OF DESIGN,23.0396751,72.5434964,42,23.0398957,72.5435085,24.56
DEPARTMENT OF MATHEMATICS,23.0380115,72.5446934,43,23.0379353,72.5447141,8.73
GUSEC,23.0381071,72.5431927,46,23.0380929,72.543076,12.05
SCHOOL OF INTERNATIONAL STUDIES AND DIASPORA,23.0380331,72.5458091,19,23.0380738,72.5457468,7.82
EXAMINATION CENTRE,23.0369791,72.5463513,11,23.0368378,72.546354,15.71
CANTEEN,23.0375237,72.5468153,39,23.0376421,72.5467714,13.91
TOWER CIRCLE,23.0361911,72.547566,ADMIN BUILDING (TOWER),23.0361584,72.5471442,43.31
TOWER CIRCLE,23.0361911,72.547566,3,23.0370004,72.5475348,90.05
TOWER CIRCLE,23.0361911,72.547566,2,23.0362297,72.5479656,41.11
GATE NO 1,23.036287,72.5484974,2,23.0362297,72.5479656,54.79
