Start Point,End Point,Steps,Meters,Note
1: Main Door,2: Waiting Area,15,10,
2: Waiting Area,3: Staircase Up (First),8,5,
3: Staircase Up (First),4: Lift,9,6,
3: Staircase Up (First),5: Office Area,9,6,
5: Office Area,9: Washroom,9,6,
5: Office Area,8: Cabin 3,4,3,
8: Cabin 3,6: Cabin 1,4,3,
8: Cabin 3,7: Cabin 2,4,3,
5: Office Area,10: Classroom 1,9,6,
10: Classroom 1,11: Meeting Room,5,3,
11: Meeting Room,12: Classroom 2 (First Door),7,5,
12: Classroom 2 (First Door),13: Classroom 2 (Second Door),7,5,
13: Classroom 2 (Second Door),14: Classroom 3,5,3,
14: Classroom 3,15: Seminar Hall,15,10,
14: Classroom 3,16: Water Room,6,4,
16: Water Room,17: Ladies Washroom,3,2,
16: Water Room,18: Men Washroom,3,2,
16: Water Room,19: Staircase Up (Second),5,3,
16: Water Room,20: Window,5,3,
